Mois;CSP;Salaire;NbEnfant;SoldeCCP
decembre;Agriculteur;20256;0;-97
decembre;Agriculteur;22685;2;-17
decembre;Agriculteur;19004;2;-14
decembre;Agriculteur;23660;4;-56
decembre;Agriculteur;19269;2;-193
decembre;Agriculteur;22357;3;-3
decembre;Agriculteur;23611;3;-130
decembre;Agriculteur;21834;3;-16
decembre;Agriculteur;22532;0;-70
decembre;Agriculteur;20403;4;8
decembre;Agriculteur;19472;1;39
decembre;Agriculteur;19125;3;32
decembre;Agriculteur;21775;2;-183
decembre;Agriculteur;18020;4;-12
decembre;Agriculteur;22627;0;-3
decembre;Agriculteur;20586;0;-14
decembre;Agriculteur;20325;3;-80
decembre;Agriculteur;22031;2;-150
decembre;Agriculteur;23362;4;-96
decembre;Agriculteur;18561;0;-158
decembre;Agriculteur;22244;4;-26
decembre;Agriculteur;23419;4;-80
decembre;Agriculteur;23900;2;-84
decembre;Agriculteur;20555;0;-6
decembre;Agriculteur;20880;4;-34
decembre;Agriculteur;19287;4;-200
decembre;Agriculteur;22281;0;-86
decembre;Agriculteur;18180;3;-176
decembre;Agriculteur;21304;1;-30
decembre;Agriculteur;23780;2;28
decembre;Agriculteur;22530;4;-139
decembre;Agriculteur;20791;2;3
decembre;Agriculteur;21788;2;-66
decembre;Agriculteur;18684;0;-91
decembre;Agriculteur;21552;2;-118
decembre;Agriculteur;22544;4;0
decembre;Agriculteur;19542;3;-174
decembre;Agriculteur;23854;1;0
decembre;Agriculteur;23377;1;-142
decembre;Agriculteur;22603;1;-9
decembre;Agriculteur;22956;2;-82
decembre;Agriculteur;20664;4;-32
decembre;Agriculteur;20071;3;-6
decembre;Agriculteur;22733;0;-67
decembre;Agriculteur;21450;4;-160
decembre;Agriculteur;19932;2;-171
decembre;Agriculteur;23143;0;-194
decembre;Agriculteur;19919;1;-129
decembre;Agriculteur;18604;4;-94
decembre;Agriculteur;22327;3;9
decembre;Agriculteur;22265;1;-119
decembre;Agriculteur;20035;3;-199
decembre;Agriculteur;18666;2;-129
decembre;Agriculteur;23591;2;-147
decembre;Agriculteur;21824;3;-80
decembre;Agriculteur;23085;0;-1
decembre;Agriculteur;21691;2;-131
decembre;Agriculteur;20473;2;-194
decembre;Agriculteur;18413;2;-191
decembre;Agriculteur;23528;2;-117
decembre;Agriculteur;21954;4;18
decembre;Agriculteur;22570;0;24
decembre;Agriculteur;18529;2;-42
decembre;Agriculteur;19965;3;31
decembre;Agriculteur;22805;0;-113
decembre;Agriculteur;19801;3;-137
decembre;Agriculteur;22987;1;26
decembre;Agriculteur;18114;3;-40
decembre;Agriculteur;18994;4;-114
decembre;Agriculteur;23960;1;0
decembre;Agriculteur;23561;0;-139
decembre;Agriculteur;20359;3;-62
decembre;Agriculteur;18466;2;-16
decembre;Agriculteur;22223;2;-114
decembre;Agriculteur;20829;3;-54
decembre;Agriculteur;18473;1;-136
decembre;Agriculteur;21623;1;-65
decembre;Agriculteur;21903;2;-94
decembre;Agriculteur;18006;4;-14
decembre;Agriculteur;21066;4;-139
decembre;Agriculteur;23661;2;-116
decembre;Agriculteur;18713;0;-133
decembre;Agriculteur;23221;0;-91
decembre;Agriculteur;23372;2;-49
decembre;Agriculteur;18330;0;-185
decembre;Agriculteur;21598;4;-199
decembre;Agriculteur;19798;4;-106
decembre;Agriculteur;22906;0;-68
decembre;Agriculteur;23634;2;-81
decembre;Agriculteur;20241;1;-193
decembre;Agriculteur;20891;1;-90
decembre;Agriculteur;21853;4;-199
decembre;Agriculteur;23941;1;-146
decembre;Agriculteur;20778;0;-38
decembre;Agriculteur;20492;3;-49
decembre;Agriculteur;18773;4;11
decembre;Agriculteur;19025;0;-179
decembre;Agriculteur;20597;3;-131
decembre;Agriculteur;18613;4;-39
decembre;Agriculteur;23278;2;-122
decembre;Agriculteur;22013;2;33
decembre;Agriculteur;19258;3;-106
decembre;Agriculteur;20314;4;-17
decembre;Agriculteur;18414;0;4
decembre;Agriculteur;23963;4;-57
decembre;Agriculteur;20519;0;-58
decembre;Agriculteur;19200;4;32
decembre;Agriculteur;21266;1;-45
decembre;Agriculteur;19867;4;-13
decembre;Agriculteur;20563;4;-191
decembre;Agriculteur;19739;4;2
decembre;Agriculteur;20538;2;-190
decembre;Agriculteur;20073;4;-187
decembre;Agriculteur;21860;2;-197
decembre;Agriculteur;21752;2;6
decembre;Agriculteur;18586;1;12
decembre;Agriculteur;22542;2;-5
decembre;Agriculteur;23665;2;-8
decembre;Agriculteur;20397;2;-130
decembre;Agriculteur;21758;0;-157
decembre;Agriculteur;20175;4;-95
decembre;Agriculteur;22760;0;-152
juillet;Agriculteur;19269;1;-20
juin;Agriculteur;18293;4;-99
juillet;Agriculteur;22319;2;-194
juin;Agriculteur;21857;3;-34
